17	21	16	59
90	30	54	58
82	93	82	84
22	25	99	83
53	55	64	17
70	87	98	40
97	39	92	80
70	81	20	96
66	52	67	32
10	11	99	12
42	62	60	87
30	23	91	57
69	81	63	23
36	33	11	31
43	98	13	16
32	33	37	40
41	54	70	78
99	39	98	51
52	28	85	91
46	64	77	18
14	59	54	99
52	19	49	55
57	52	86	84
87	30	76	83
43	47	91	70
81	48	84	25
78	66	86	94
32	28	64	37
77	11	99	18
30	24	31	13
25	92	54	62
29	48	54	90
73	53	46	94
49	13	37	49
15	30	49	85
61	90	36	93
85	90	29	68
79	87	87	25
97	70	79	56
77	46	34	89
21	96	27	58
91	74	68	71
16	85	49	97
62	34	26	89
21	75	32	75
66	51	58	87
29	18	15	33
40	36	77	27
15	18	39	42
98	63	27	73
80	28	62	63
41	25	17	51
79	47	57	11
59	55	72	59
83	81	64	26
33	27	36	25
31	63	78	62
28	96	10	35
69	53	36	66
64	65	36	13
14	96	17	10
26	85	36	49
61	33	57	77
26	60	65	47
13	58	96	79
67	38	86	86
60	24	51	90
34	93	41	93
38	64	41	54
82	25	47	54
30	71	12	87
21	64	76	11
45	75	19	87
12	71	35	96
65	58	90	27
12	25	82	19
72	66	52	14
50	48	35	89
47	28	27	19
94	64	66	35
17	36	48	47
78	64	96	19
26	14	94	88
21	80	17	44
31	55	24	62
41	43	30	14
83	58	36	34
29	29	18	39
13	21	19	58
38	29	78	33
32	86	11	76
71	21	24	11
89	58	36	55
26	96	47	59
57	15	92	98
21	27	63	47
46	65	20	22
19	92	54	57
95	78	41	68
50	87	30	64
72	31	10	86
79	87	99	60
71	42	99	23
77	76	96	86
51	90	63	86
27	62	59	33
19	71	14	81
69	54	82	83
23	52	23	11
25	95	26	66
23	97	43	99
19	42	57	60
62	62	81	78
22	56	97	78
49	31	66	38
42	24	13	53
67	11	76	25
45	34	17	31
54	65	61	16
41	89	34	50
72	46	95	20
35	32	28	60
78	42	50	40
24	49	91	70
79	76	86	33
87	18	44	77
52	91	66	40
92	73	95	91
68	40	18	10
90	72	25	77
40	67	33	80
40	22	26	69
42	39	72	56
47	16	18	61
10	97	36	57
56	15	45	22
62	53	35	26
15	96	67	97
93	45	83	84
53	96	81	67
37	15	85	23
16	56	75	61
75	60	91	46
16	83	90	32
79	70	28	78
14	33	24	92
12	54	37	24
75	68	85	10
83	41	74	68
53	94	74	68
95	93	83	20
48	83	75	11
27	98	77	42
65	59	67	87
75	78	80	96
44	28	98	94
32	31	60	84
24	54	22	31
50	32	73	56
63	27	70	60
98	76	87	50
37	14	47	62
46	61	33	14
43	41	38	46
10	71	64	50
39	99	61	31
14	13	30	70
75	33	53	60
23	68	13	81
37	67	33	18
35	67	38	15
27	32	16	19
80	39	13	74
31	81	82	11
12	52	73	82
29	55	48	37
24	40	63	53
92	82	32	56
28	68	91	70
79	30	63	57
87	93	42	67
28	74	57	45
50	71	46	45
33	59	35	46
43	14	80	40
20	18	77	84
16	86	53	50
92	61	89	78
70	74	81	55
47	33	73	85
22	12	61	65
71	26	61	63
18	30	50	48
76	23	71	41
28	18	33	54
72	55	54	50
16	56	97	78
92	83	68	47
33	15	43	56
35	71	41	28
21	82	87	60
46	19	49	26
94	16	64	77
54	20	16	62
43	12	74	39
18	37	56	77
90	62	91	28
32	90	61	35
43	72	91	41
12	65	19	37
32	21	72	56
72	48	10	25
44	33	69	36
84	14	84	35
24	37	20	67
59	39	71	79
61	10	92	50
24	73	29	28
88	84	68	68
46	11	85	96
37	60	68	48
19	18	41	88
77	80	56	63
74	39	91	47
71	73	95	83
87	76	53	76
68	80	48	66
25	60	25	18
94	96	62	61
95	27	40	61
96	50	99	67
18	40	58	80
83	99	28	69
63	83	65	46
68	34	85	81
75	82	27	96
80	63	40	73
58	16	73	42
76	15	21	38
99	93	75	20
14	75	38	12
96	56	92	97
93	22	62	15
49	90	94	39
33	81	65	34
34	11	84	91
73	38	64	28
98	52	28	39
69	46	99	24
