63	36	76	82	69	99
28	31	94	17	59	33
31	82	30	54	41	64
46	56	43	14	41	81
99	2	36	76	66	80
25	55	47	62	14	31
50	84	8	92	84	49
79	29	47	28	8	76
1	84	66	12	33	27
57	52	1	60	24	43
45	50	81	74	13	38
28	7	6	58	52	80
71	80	51	60	2	46
70	41	26	98	95	2
78	58	58	62	70	32
76	63	41	61	39	79
27	13	60	46	12	17
38	32	55	65	68	72
47	87	86	18	55	41
48	47	63	39	19	11
94	86	57	80	82	29
43	64	22	88	37	89
16	74	43	40	87	30
89	31	32	78	73	88
71	80	20	57	90	39
21	77	38	59	11	55
5	89	32	33	61	63
34	6	33	18	57	40
55	71	56	65	13	26
41	43	4	36	50	48
77	27	56	68	70	84
37	70	39	12	22	7
64	88	28	87	73	99
85	35	54	31	18	33
33	31	62	90	93	40
44	47	91	21	48	81
62	55	48	6	11	76
44	58	25	11	40	81
38	22	72	95	86	21
91	19	66	16	25	25
53	15	32	53	52	53
54	61	50	97	56	91
97	11	70	87	94	71
1	99	49	21	48	92
9	68	31	45	50	63
96	85	97	70	47	48
57	62	71	92	24	4
22	56	4	27	94	60
53	58	91	99	72	25
12	95	3	63	33	8
29	42	43	53	30	78
81	17	10	42	11	42
13	46	1	16	79	95
32	37	81	49	97	78
43	28	22	4	10	65
53	72	69	77	33	87
95	36	5	19	93	17
32	48	87	25	12	6
54	1	2	11	6	95
28	90	15	91	85	21
23	18	19	11	89	32
95	85	79	26	56	4
65	44	4	25	14	81
56	80	67	15	66	41
66	73	85	6	34	26
57	37	1	28	46	16
25	45	88	78	32	75
74	97	4	89	75	34
73	28	70	11	44	75
30	11	59	87	18	64
22	97	24	24	59	18
64	1	6	91	26	22
12	44	88	57	40	19
52	33	75	96	6	97
32	5	6	22	73	40
20	15	52	6	61	59
87	98	26	6	24	84
97	81	4	65	27	41
35	86	74	62	44	19
55	93	11	69	70	73
35	63	45	36	89	52
88	2	50	4	81	53
85	53	74	67	59	8
96	14	57	70	30	11
70	69	52	63	21	95
75	36	83	25	44	92
20	48	1	23	97	74
47	20	88	14	50	19
13	85	97	66	77	99
48	85	9	61	57	93
96	60	44	79	8	12
7	30	60	78	28	78
34	61	13	10	55	4
81	16	72	55	87	48
10	1	22	84	98	25
19	17	7	13	30	86
16	63	84	95	46	85
86	94	94	55	25	82
20	75	45	73	33	75
82	63	20	10	7	48
26	67	10	14	53	46
65	58	78	42	28	94
91	15	36	92	40	23
19	71	97	10	1	57
73	7	84	13	12	4
53	64	33	75	78	91
59	6	71	65	86	58
85	97	66	84	95	1
44	66	8	84	50	25
93	13	20	18	7	35
94	36	46	62	17	50
92	1	81	21	73	16
72	68	5	61	53	97
55	71	48	97	54	13
17	66	42	36	13	83
33	72	72	94	50	73
38	76	14	89	1	78
81	74	29	29	66	19
17	58	71	43	88	70
44	95	54	31	18	7
37	2	80	69	40	59
42	34	16	41	22	96
90	93	66	56	14	45
27	89	95	12	12	51
77	53	52	32	81	63
19	20	44	7	91	71
18	71	18	62	96	74
15	91	81	43	8	98
81	30	42	84	46	69
6	30	37	15	60	27
74	29	92	31	38	29
1	28	71	64	20	68
75	55	12	44	26	90
22	84	39	98	44	40
43	64	56	58	28	74
11	20	87	38	53	78
3	27	35	16	4	91
6	17	2	91	63	58
39	50	97	71	38	67
16	9	32	6	66	92
95	22	72	12	87	60
18	63	65	44	18	95
11	69	26	47	35	65
61	39	75	20	87	73
92	24	73	61	58	2
